ID,Date,Service,Company,Parent,Location,Amount,Contract_ID,Text,Link
1,2/3/2014,AIR FORCE,Lockheed Martin Corp.,Lockheed Martin Corp.,Newtown Pa.,"$14,430,612 ",FA8807-13-C-0002,"Lockheed Martin Corp., Newtown, Pa., has been awarded a $14,430,612 fixed-price-incentive-firm modification (P00006) for an existing contract (FA8807-13-C-0002) for GPS III long lead material for space vehicles 07 and 08. The contract modification provides for the acquisition of long lead material under the basic contract. Work will be performed predominantly in Clifton, N.J., and is expected to be completed by June 2015. Fiscal 2013 missile procurement funds in the amount of $14,430,612 are being obligated at time of award. The Space and Missile Systems Center Global Positioning Systems Directorate, Los Angeles Air Force Base, Calif., is the contracting activity.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5216
2,2/3/2014,DEFENSE LOGISTICS AGENCY,Sklar Instruments Corp.*,Sklar Instruments Corp.,West Chester Pa.,"$41,426,795 ",SPE2D0-14-D-0002,"Sklar Instruments Corp.*, West Chester, Pa., has been awarded a maximum $41,426,795 fixed-price with economic-price-adjustment, indefinite-delivery/indefinite-quantity contract for various medical and surgical components including dental equipment and supplies. This contract is a competitive acquisition and four offers were received. Location of performance is Pennsylvania with a Feb. 2, 2015 performance completion date. Using military services are Army, Navy, Air Force, Marine Corps, and federal civilian agencies. Type of appropriation is fiscal 2014 through fiscal 2015 warstopper funds. The contracting activity is the Defense Logistics Agency Troop Support, Philadelphia, Pa.; (SPE2D0-14-D-0002).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5216
3,2/3/2014,DEFENSE LOGISTICS AGENCY,Avfuel Corp.*,Avfuel Corp.,Ann Arbor Mich.,"$12,058,113 ",SP0600-14-D-0060,"Avfuel Corp.*, Ann Arbor, Mich., has been awarded a maximum $12,058,113 fixed-price with economic-price-adjustment contract for into-plane fuel. This contract is a competitive acquisition and two offers were received. Locations of performance are Michigan and Idaho with a March 31, 2018 performance completion date. Using military services are Army, Navy, Air Force, Marine Corps, and federal civilian agencies. Type of appropriation is fiscal 2014 through fiscal 2018 defense working capital funds. The contracting activity is the Defense Logistics Agency Energy, Fort Belvoir, Va.; (SP0600-14-D-0060).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5216
4,2/3/2014,DEFENSE LOGISTICS AGENCY,O.E.S.,OES Inc.,Inc.* Wainwright Alaska,"$8,566,833 ",SP3300-10-C-0037,"O.E.S., Inc.,* Wainwright, Alaska, has been awarded a maximum $8,566,833 modification (P00032) exercising the third option year on a one-year base contract (SP3300-10-C-0037) with four one-year option periods for facility maintenance and repair for warehouse and distribution support services. This is a fixed-price, incentive-firm-target contract with cost-reimbursement and labor-hour line items. Locations of performance are Alaska and California with a Jan. 31, 2016 performance completion date. Using military service is federal civilian agency. Type of appropriation is fiscal 2014 defense working capital funds. The contracting activity is the Defense Logistics Agency Distribution, New Cumberland, Pa.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5216
5,2/3/2014,NAVY,Armag Corp.,Armag Corp.,Bardstown Ky.,"$49,971,770 ",N00164-14-D-GQ35,"Armag Corp., Bardstown, Ky., is being awarded a $49,971,770 firm-fixed-price, indefinite-delivery/indefinite-quantity contract for pre-engineered/pre-fabricated deployable standard steel armories, forward operating base armories, portable steel storage magazines, earth covered magazines, watertight magazines and associated optional features. These items serve as stand-alone high security storage facilities for conventional small arms, ammunition and explosives. It is anticipated that the arms, ammunition and explosives programs of various government activities will be supported through this contract. The contract also includes on-site installation support. Work will be performed in Bardstown, Ky., and is expected to be completed by January 2019. Fiscal 2014 operation and maintenance Army Reserve funding in the amount of $54,236 will be obligated at time of award, and will expire at the end of the current fiscal year. The Naval Surface Warfare Center, Crane, Ind., is the contracting activity (N00164-14-D-GQ35).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5216
6,2/3/2014,NAVY,The Boeing Co.,Boeing Co.,St. Louis Mo.,"$42,179,054 ",N00019-09-C-0019,"The Boeing Co., St. Louis, Mo., is being awarded a $42,179,054 modification to a previously awarded firm-fixed-price contract (N00019-09-C-0019) for the procurement of aircraft armament equipment for F/A-18E/F and EA-18G aircraft, including jumper bundles, pylons, and bomb racks. Work will be performed in Meza, Ariz. (71 percent) and St. Louis, Mo. (29 percent), and is expected to be completed in May 2018. Fiscal 2013 aircraft procurement, Navy funds in the amount of $42,179,054 are being obligated on this award, none of which will expire at the end of the current fiscal year. The Naval Air Systems Command, Patuxent River, Md., is the contracting activity.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5216
7,2/4/2014,AIR FORCE,KS International LLC,KS International LLC,,"$623,300,000 ",FA8615-14-C-6020,"KS International LLC, has been awarded a $623,300,000 firm-fixed-price, undefinitized contract action for Iraq base operating support, base life support, and security services at Balad Air Base, Iraq. Work will be performed at Balad Air Base, Iraq, and is expected to be completed by January 2017. This award is the result of a sole-source acquisition. This requirement is 100 percent foreign military sales for the government of Iraq. Air Force Life Cycle Management Center/WWMK, Wright-Patterson Air Force Base, Ohio, is the contracting activity (FA8615-14-C-6020).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5217
8,2/4/2014,ARMY,Booz Allen Hamilton,Booz Allen Hamilton Inc.,McLean Va. (W15QKN-14-D-0010); Dynamics Research Corp. Andover Mass. (W15QKN-14-D-0011); D&S; Consultants Inc. Eatontown N.J. (W15QKN-14-D-0012); EOIR Technologies Inc. Aberdeen Proving Ground Md. (W15QKN-14-D-0013); SAIC McLean Va. (W15QKN-14-D-0014),"$9,990,000 ",W15QKN-14-D-0010,"Booz Allen Hamilton, McLean, Va. (W15QKN-14-D-0010); Dynamics Research Corp., Andover, Mass. (W15QKN-14-D-0011); D&S; Consultants Inc., Eatontown, N.J. (W15QKN-14-D-0012); EOIR Technologies Inc., Aberdeen Proving Ground, Md. (W15QKN-14-D-0013); SAIC, McLean, Va. (W15QKN-14-D-0014) were awarded a $9,990,000 firm-fixed-price contract for support to the Systems Engineering Directorate, Picatinny Arsenal, for the research and development of engineering integration systems. Funding and work location will be determined with each order. Estimated completion date is Feb. 3, 2017. Bids were solicited via the Internet with six received. Army Contracting Command, Picatinny Arsenal, N.J., is the contracting activity.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5217
9,2/4/2014,DEFENSE LOGISTICS AGENCY,Sagent Pharmaceuticals Inc.*,Sagent Pharmaceuticals Inc.,Schaumburg Ill.,"$28,407,510 ",SPM2D0-13-D-0001,"Sagent Pharmaceuticals Inc.*, Schaumburg, Ill., has been awarded a maximum $28,407,510 modification (P00004) exercising the second option year on a one-year base contract (SPM2D0-13-D-0001) with seven one-year option periods for various pharmaceutical products. This is a firm-fixed-price, indefinite-delivery/indefinite-quantity contract. Location of performance Illinois with a Feb. 7, 2015 performance completion date. Using military services are Army, Navy, Air Force, and Marine Corps. Type of appropriation is fiscal 2014 warstopper funds. The contracting activity is the Defense Logistics Agency Troop Support, Philadelphia, Pa.",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5217
10,2/4/2014,DEFENSE LOGISTICS AGENCY,Imperial Flying Service Inc.*,Imperial Flying Service Inc.,Imperial Calif.,"$15,613,492 ",SP0600-14-D-0050,"Imperial Flying Service Inc.*, Imperial, Calif., has been awarded a maximum $15,613,492 fixed-price with economic-price-adjustment contract for jet fuel. This contract is a competitive acquisition and one offer was received. Location of performance is California with a March 31, 2018 performance completion date. Using military services are Army, Navy, Air Force, Marine Corps, and federal civilian agencies. Type of appropriation is fiscal 2014 through fiscal 2018 defense working capital funds. The contracting activity is the Defense Logistics Agency Energy, Fort Belvoir, Va.; (SP0600-14-D-0050).",http://www.defense.gov/Contracts/Contract.aspx?ContractID=5217
